"V1";"V2";"V3";"V4";"V5";"V6"
"forest";"species";"soil";"social";"water";"services"
"urban";"diversity";"carbon";"policy";"coastal";"ecosystem"
"forests";"plant";"soils";"conservation";"wetlands";"es"
"land";"richness";"organic";"biodiversity";"wetland";"economic"
"tree";"abundance";"biomass";"ecological";"river";"valuation"
"trees";"pollination";"crop";"research";"fish";"service"
"cover";"functional";"microbial";"pes";"marine";"decision"
"areas";"native";"plant";"challenges";"de";"values"
"vegetation";"habitat";"production";"environmental";"sea";"land"
"carbon";"pest";"nutrient";"development";"mangrove";"framework"
